headline,date,source,cleaned_text,tokens_nltk,tokens_spacy,entities,processed_text,vader_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,textblob_sentiment,textblob_polarity,textblob_subjectivity,bert_sentiment,bert_confidence,vader_numeric,textblob_numeric,bert_numeric,ensemble_score,ensemble_sentiment,dominant_topic,topic_probability,cluster,tsne_x,tsne_y,pca_x,pca_y
"Apple Inc. reported strong quarterly earnings, beating analyst expectations with revenue growth of 15%.",2024-01-01,Financial Times,apple inc reported strong quarterly earnings beating analyst expectations with revenue growth of,"['apple', 'inc', 'reported', 'strong', 'quarterly', 'earnings', 'beating', 'analyst', 'expectation', 'revenue', 'growth']","['apple', 'inc', 'report', 'strong', 'quarterly', 'earning', 'beat', 'analyst', 'expectation', 'revenue', 'growth']","[('apple inc', 'ORG'), ('quarterly', 'DATE')]",apple inc report strong quarterly earning beat analyst expectation revenue growth,positive,0.7096,0.396,0.0,0.604,positive,0.43333333333333335,0.7333333333333334,positive,0.9516448974609375,1,1,1,1.0,positive,1,0.9872317,1,31.63902,3.6026838,-0.25149998,0.50967586
Tesla stock plummeted after disappointing delivery numbers were announced by the company.,2024-01-02,Reuters,tesla stock plummeted after disappointing delivery numbers were announced by the company,"['tesla', 'plummeted', 'disappointing', 'delivery', 'number', 'announced']","['tesla', 'stock', 'plummet', 'disappointing', 'delivery', 'number', 'announce', 'company']",[],tesla stock plummet disappointing delivery number announce company,negative,-0.4404,0.124,0.305,0.571,negative,-0.6,0.7,negative,0.8118466734886169,-1,-1,-1,-1.0,negative,2,0.98036593,0,-21.800257,-65.21249,0.36984822,0.28819987
The Federal Reserve announced interest rate cuts to stimulate economic growth amid recession fears.,2024-01-03,Bloomberg,the federal reserve announced interest rate cuts to stimulate economic growth amid recession fears,"['federal', 'reserve', 'announced', 'interest', 'rate', 'cut', 'stimulate', 'economic', 'growth', 'amid', 'recession', 'fear']","['federal', 'reserve', 'announce', 'interest', 'rate', 'cut', 'stimulate', 'economic', 'growth', 'amid', 'recession', 'fear']","[('the federal reserve', 'ORG')]",federal reserve announce interest rate cut stimulate economic growth amid recession fear,negative,-0.1531,0.347,0.375,0.278,positive,0.2,0.2,positive,0.6405227780342102,-1,1,1,0.4,positive,1,0.98827547,1,25.635302,-51.625446,-0.36764547,-0.3135376
Goldman Sachs upgraded its rating on Microsoft following strong cloud computing performance.,2024-01-04,WSJ,goldman sachs upgraded its rating on microsoft following strong cloud computing performance,"['goldman', 'sachs', 'upgraded', 'rating', 'microsoft', 'following', 'strong', 'cloud', 'computing', 'performance']","['goldman', 'sach', 'upgrade', 'rating', 'microsoft', 'follow', 'strong', 'cloud', 'computing', 'performance']","[('goldman sachs', 'ORG'), ('microsoft', 'ORG')]",goldman sach upgrade rating microsoft follow strong cloud computing performance,positive,0.5106,0.268,0.0,0.732,positive,0.43333333333333335,0.7333333333333334,positive,0.9494742751121521,1,1,1,1.0,positive,0,0.98426604,1,-11.399596,-10.108812,-0.14038217,0.19609465
Oil prices surged due to geopolitical tensions in the Middle East affecting global supply chains.,2024-01-05,CNBC,oil prices surged due to geopolitical tensions in the middle east affecting global supply chains,"['oil', 'price', 'surged', 'due', 'geopolitical', 'tension', 'middle', 'east', 'affecting', 'global', 'supply', 'chain']","['oil', 'price', 'surge', 'geopolitical', 'tension', 'middle', 'east', 'affect', 'global', 'supply', 'chain']","[('the middle east', 'LOC')]",oil price surge geopolitical tension middle east affect global supply chain,negative,-0.3182,0.0,0.187,0.813,neutral,0.0,0.0,negative,0.8931398391723633,-1,0,-1,-0.8,negative,1,0.98723173,0,-51.97371,28.630722,0.58677584,-0.28358307
Amazon's quarterly report showed declining profits despite increased revenue from e-commerce operations.,2024-01-06,Financial Times,amazons quarterly report showed declining profits despite increased revenue from ecommerce operations,"['amazon', 'quarterly', 'showed', 'declining', 'profit', 'despite', 'increased', 'revenue', 'ecommerce', 'operation']","['amazon', 'quarterly', 'report', 'show', 'decline', 'profit', 'despite', 'increase', 'revenue', 'ecommerce', 'operation']","[('amazons', 'CARDINAL'), ('quarterly', 'DATE')]",amazon quarterly report show decline profit despite increase revenue ecommerce operation,positive,0.3895,0.316,0.135,0.549,neutral,0.0,0.0,negative,0.9537423849105835,1,0,-1,-0.2,neutral,0,0.9856666,1,79.74875,19.074902,-0.122597866,0.46680844
"The cryptocurrency market experienced significant volatility with Bitcoin dropping below $30,000.",2024-01-07,Reuters,the cryptocurrency market experienced significant volatility with bitcoin dropping below,"['cryptocurrency', 'experienced', 'significant', 'volatility', 'bitcoin', 'dropping']","['cryptocurrency', 'market', 'experience', 'significant', 'volatility', 'bitcoin', 'drop']",[],cryptocurrency market experience significant volatility bitcoin drop,negative,-0.0772,0.202,0.236,0.562,positive,0.375,0.875,negative,0.7688152194023132,-1,1,-1,-0.6,negative,2,0.97765136,1,42.00951,58.62022,0.036720585,-0.28327328
JPMorgan Chase reported record profits in the banking sector driven by higher interest rates.,2024-01-08,Bloomberg,jpmorgan chase reported record profits in the banking sector driven by higher interest rates,"['jpmorgan', 'chase', 'reported', 'record', 'profit', 'banking', 'sector', 'driven', 'higher', 'interest', 'rate']","['jpmorgan', 'chase', 'report', 'record', 'profit', 'banking', 'sector', 'drive', 'high', 'interest', 'rate']","[('jpmorgan chase', 'PERSON')]",jpmorgan chase report record profit banking sector drive high interest rate,positive,0.7096,0.396,0.0,0.604,positive,0.16,0.54,negative,0.4969336688518524,1,1,-1,0.0,neutral,0,0.9856666,1,-59.517338,-25.645998,-0.45087945,-0.054230463
Google's parent company Alphabet faced regulatory scrutiny over antitrust concerns in Europe.,2024-01-09,WSJ,googles parent company alphabet faced regulatory scrutiny over antitrust concerns in europe,"['google', 'parent', 'alphabet', 'faced', 'regulatory', 'scrutiny', 'antitrust', 'concern', 'europe']","['googles', 'parent', 'company', 'alphabet', 'face', 'regulatory', 'scrutiny', 'antitrust', 'concern', 'europe']","[('googles parent', 'ORG'), ('europe', 'LOC')]",googles parent company alphabet face regulatory scrutiny antitrust concern europe,neutral,0.0,0.0,0.0,1.0,neutral,0.0,0.0,negative,0.8614336252212524,0,0,-1,-0.5,negative,2,0.98420334,0,-5.528215,45.14698,0.59229296,0.012435472
The housing market showed signs of cooling with mortgage rates reaching multi-year highs.,2024-01-10,CNBC,the housing market showed signs of cooling with mortgage rates reaching multiyear highs,"['housing', 'showed', 'sign', 'cooling', 'mortgage', 'rate', 'reaching', 'multiyear', 'high']","['housing', 'market', 'show', 'sign', 'cool', 'mortgage', 'rate', 'reach', 'multiyear', 'high']","[('multiyear', 'DATE')]",housing market show sign cool mortgage rate reach multiyear high,positive,0.34,0.298,0.0,0.702,positive,0.255,0.595,negative,0.5823917388916016,1,1,-1,0.0,neutral,1,0.98598397,1,72.11815,-35.1509,-0.25263247,-0.53859013
